,Date,Year,Month,month_day,Country,Prov_Depto,Detpo_Distr_Mun ,Deforestation_ha,date_num
0,2012-03-31,2012,March,03-31,Argentina,Catamarca,La Paz,105.0,734593.0
1,2012-03-31,2012,March,03-31,Argentina,Catamarca,Santa Rosa,290.3,734593.0
2,2012-03-31,2012,March,03-31,Argentina,Chaco,12 de Octubre,9.6,734593.0
3,2012-03-31,2012,March,03-31,Argentina,Chaco,Almirante Brown,2004.7,734593.0
4,2012-03-31,2012,March,03-31,Argentina,Chaco,General Güemes,478.8,734593.0
5,2012-03-31,2012,March,03-31,Argentina,Córdoba,Minas,24.2,734593.0
6,2012-03-31,2012,March,03-31,Argentina,Formosa,Bermejo,1293.0,734593.0
7,2012-03-31,2012,March,03-31,Argentina,Formosa,Patiño,1775.6,734593.0
8,2012-03-31,2012,March,03-31,Argentina,La Rioja,Capital,38.5,734593.0
9,2012-03-31,2012,March,03-31,Argentina,Salta,Anta,166.5,734593.0
10,2012-03-31,2012,March,03-31,Argentina,Salta,General Jose de San Martin,299.4,734593.0
11,2012-03-31,2012,March,03-31,Argentina,Salta,Metan,53.8,734593.0
12,2012-03-31,2012,March,03-31,Argentina,Salta,Orán,308.8,734593.0
13,2012-03-31,2012,March,03-31,Argentina,Salta,Rosario de la Frontera,783.1,734593.0
14,2012-03-31,2012,March,03-31,Argentina,Santiago del Estero,Banda,55.9,734593.0
15,2012-03-31,2012,March,03-31,Argentina,Santiago del Estero,Choya,386.9,734593.0
16,2012-03-31,2012,March,03-31,Argentina,Santiago del Estero,Figueroa,83.4,734593.0
17,2012-03-31,2012,March,03-31,Argentina,Santiago del Estero,Guasayán,47.4,734593.0
18,2012-03-31,2012,March,03-31,Argentina,Santiago del Estero,Jiménez,30.6,734593.0
19,2012-03-31,2012,March,03-31,Argentina,Santiago del Estero,Loreto,92.8,734593.0
20,2012-03-31,2012,March,03-31,Argentina,Santiago del Estero,Moreno,105.2,734593.0
21,2012-03-31,2012,March,03-31,Argentina,Santiago del Estero,Ojo de Agua,201.0,734593.0
22,2012-03-31,2012,March,03-31,Argentina,Santiago del Estero,Pellegrini,423.4,734593.0
23,2012-03-31,2012,March,03-31,Argentina,Santiago del Estero,Rio Hondo,18.9,734593.0
24,2012-03-31,2012,March,03-31,Argentina,Tucumán,Burruyacu,60.7,734593.0
25,2012-03-31,2012,March,03-31,Argentina,Tucumán,Graneros,104.2,734593.0
26,2012-03-31,2012,March,03-31,Argentina,Tucumán,La Cocha,20.9,734593.0
27,2012-03-31,2012,March,03-31,Argentina,Tucumán,Leales,208.1,734593.0
28,2012-03-31,2012,March,03-31,Argentina,Tucumán,Simoca,117.2,734593.0
29,2012-03-31,2012,March,03-31,Bolivia,Chuquisaca,Machareti,103.6,734593.0
30,2012-03-31,2012,March,03-31,Bolivia,Santa Cruz,Cabezas,191.7,734593.0
31,2012-03-31,2012,March,03-31,Bolivia,Santa Cruz,Charagua,750.9,734593.0
32,2012-03-31,2012,March,03-31,Bolivia,Santa Cruz,Cuatro Cañadas,327.7,734593.0
33,2012-03-31,2012,March,03-31,Bolivia,Santa Cruz,Pailón,761.6,734593.0
34,2012-03-31,2012,March,03-31,Bolivia,Tarija,Villamontes,24.6,734593.0
35,2012-03-31,2012,March,03-31,Bolivia,Tarija,Yacuiba,253.5,734593.0
36,2012-03-31,2012,March,03-31,Paraguay,Alto Paraguay,Bahía Negra,2518.7,734593.0
37,2012-03-31,2012,March,03-31,Paraguay,Alto Paraguay,Fuerte Olimpo,1335.2,734593.0
38,2012-03-31,2012,March,03-31,Paraguay,Alto Paraguay,La Victoria,298.7,734593.0
39,2012-03-31,2012,March,03-31,Paraguay,Boquerón,Filadelfia,1524.0,734593.0
40,2012-03-31,2012,March,03-31,Paraguay,Boquerón,Mcal Estigarribia,15096.5,734593.0
41,2012-03-31,2012,March,03-31,Paraguay,Concepción,Concepción,57.2,734593.0
42,2012-03-31,2012,March,03-31,Paraguay,Presidente Hayes,General Jose Maria Bruguez,206.2,734593.0
43,2012-03-31,2012,March,03-31,Paraguay,Presidente Hayes,Irala Fernandez,734.1,734593.0
44,2012-03-31,2012,March,03-31,Paraguay,Presidente Hayes,Pinasco,338.1,734593.0
45,2012-03-31,2012,March,03-31,Paraguay,Presidente Hayes,Tte. Esteban Martínez,113.2,734593.0
46,2012-04-30,2012,April,04-30,Argentina,Chaco,9 de Julio,54.0,734623.0
47,2012-04-30,2012,April,04-30,Argentina,Chaco,Almirante Brown,1749.0,734623.0
48,2012-04-30,2012,April,04-30,Argentina,Chaco,Chacabuco,33.0,734623.0
49,2012-04-30,2012,April,04-30,Argentina,Chaco,Comandante Fernandez,2.0,734623.0
50,2012-04-30,2012,April,04-30,Argentina,Chaco,General Güemes,551.0,734623.0
51,2012-04-30,2012,April,04-30,Argentina,Chaco,Maipú,257.0,734623.0
52,2012-04-30,2012,April,04-30,Argentina,Chaco,Mayor Luis J. Fonta,22.0,734623.0
53,2012-04-30,2012,April,04-30,Argentina,Córdoba,Rio Seco,87.0,734623.0
54,2012-04-30,2012,April,04-30,Argentina,Formosa,Bermejo,270.0,734623.0
55,2012-04-30,2012,April,04-30,Argentina,Formosa,Patiño,1439.0,734623.0
56,2012-04-30,2012,April,04-30,Argentina,La Rioja,General San Martin,229.0,734623.0
57,2012-04-30,2012,April,04-30,Argentina,Santa Fe,9 de Julio,459.0,734623.0
58,2012-04-30,2012,April,04-30,Argentina,Santa Fe,San Cristóbal,18.0,734623.0
59,2012-04-30,2012,April,04-30,Argentina,Santiago del Estero,Aguirre,195.0,734623.0
60,2012-04-30,2012,April,04-30,Argentina,Santiago del Estero,Alberdi,1261.0,734623.0
61,2012-04-30,2012,April,04-30,Argentina,Santiago del Estero,Avellaneda,568.0,734623.0
62,2012-04-30,2012,April,04-30,Argentina,Santiago del Estero,Belgrano,119.0,734623.0
63,2012-04-30,2012,April,04-30,Argentina,Santiago del Estero,Copo,32.0,734623.0
64,2012-04-30,2012,April,04-30,Argentina,Santiago del Estero,General Taboada,560.0,734623.0
65,2012-04-30,2012,April,04-30,Argentina,Santiago del Estero,Juan F. Ibarra,2124.0,734623.0
66,2012-04-30,2012,April,04-30,Argentina,Santiago del Estero,Mitre,116.0,734623.0
67,2012-04-30,2012,April,04-30,Argentina,Santiago del Estero,Moreno,1984.0,734623.0
68,2012-04-30,2012,April,04-30,Argentina,Santiago del Estero,Ojo de Agua,93.0,734623.0
69,2012-04-30,2012,April,04-30,Argentina,Santiago del Estero,Quebrachos,4809.0,734623.0
70,2012-04-30,2012,April,04-30,Argentina,Santiago del Estero,San Martin,274.0,734623.0
71,2012-04-30,2012,April,04-30,Argentina,Santiago del Estero,Sarmiento,322.0,734623.0
72,2012-04-30,2012,April,04-30,Argentina,Santiago del Estero,Silípica,132.0,734623.0
73,2012-04-30,2012,April,04-30,Bolivia,Santa Cruz,Pailón,825.0,734623.0
74,2012-04-30,2012,April,04-30,Bolivia,Santa Cruz,San Jose de Chiquitos,40.0,734623.0
75,2012-04-30,2012,April,04-30,Paraguay,Alto Paraguay,Fuerte Olimpo,983.0,734623.0
76,2012-04-30,2012,April,04-30,Paraguay,Alto Paraguay,La Victoria,385.0,734623.0
77,2012-04-30,2012,April,04-30,Paraguay,Boquerón,Filadelfia,884.0,734623.0
78,2012-04-30,2012,April,04-30,Paraguay,Boquerón,Mcal Estigarribia,3872.0,734623.0
79,2012-04-30,2012,April,04-30,Paraguay,Presidente Hayes,General Jose Maria Bruguez,511.0,734623.0
80,2012-04-30,2012,April,04-30,Paraguay,Presidente Hayes,Irala Fernandez,168.0,734623.0
81,2012-04-30,2012,April,04-30,Paraguay,Presidente Hayes,Pinasco,1407.0,734623.0
82,2012-04-30,2012,April,04-30,Paraguay,Presidente Hayes,Tte. Esteban Martínez,597.0,734623.0
83,2012-04-30,2012,April,04-30,Paraguay,Presidente Hayes,Villa Hayes,484.0,734623.0
84,2012-05-31,2012,May,05-31,Argentina,Catamarca,La Paz ,15.8,734654.0
85,2012-05-31,2012,May,05-31,Argentina,Chaco ,12 de Octubre ,27.1,734654.0
86,2012-05-31,2012,May,05-31,Argentina,Chaco ,9 de Julio,62.8,734654.0
87,2012-05-31,2012,May,05-31,Argentina,Chaco ,Almirante Brown,3802.0,734654.0
88,2012-05-31,2012,May,05-31,Argentina,Chaco ,Comandante Fernandez ,49.0,734654.0
89,2012-05-31,2012,May,05-31,Argentina,Chaco ,General Güemes,808.7,734654.0
90,2012-05-31,2012,May,05-31,Argentina,Chaco ,Independencia ,65.9,734654.0
91,2012-05-31,2012,May,05-31,Argentina,Chaco,Maipú,166.2,734654.0
92,2012-05-31,2012,May,05-31,Argentina,Córdoba ,San Alberto ,18.4,734654.0
93,2012-05-31,2012,May,05-31,Argentina,Córdoba ,San Javier,7.2,734654.0
94,2012-05-31,2012,May,05-31,Argentina,Formosa ,Bermejo ,562.8,734654.0
95,2012-05-31,2012,May,05-31,Argentina,Formosa ,Matacos,19.9,734654.0
96,2012-05-31,2012,May,05-31,Argentina,Formosa,Patiño,395.9,734654.0
97,2012-05-31,2012,May,05-31,Argentina,La Rioja ,Gobernador Gordillo ,32.2,734654.0
98,2012-05-31,2012,May,05-31,Argentina,La Rioja ,Capital,21.3,734654.0
99,2012-05-31,2012,May,05-31,Argentina,La Rioja,General Belgrano ,26.9,734654.0
100,2012-05-31,2012,May,05-31,Argentina,Salta ,Anta,2901.4,734654.0
101,2012-05-31,2012,May,05-31,Argentina,Salta ,Metan ,183.1,734654.0
102,2012-05-31,2012,May,05-31,Argentina,Salta ,Rivadavia,126.0,734654.0
103,2012-05-31,2012,May,05-31,Argentina,Salta,Rosario de la Frontera ,1613.2,734654.0
104,2012-05-31,2012,May,05-31,Argentina,San Luis ,Ayacucho,466.6,734654.0
105,2012-05-31,2012,May,05-31,Argentina,San Luis ,Belgrano,57.0,734654.0
106,2012-05-31,2012,May,05-31,Argentina,San Luis ,Chacabuco ,2.8,734654.0
107,2012-05-31,2012,May,05-31,Argentina,San Luis ,Junín,3334.1,734654.0
108,2012-05-31,2012,May,05-31,Argentina,San Luis ,Libertador General San Martin ,16.1,734654.0
109,2012-05-31,2012,May,05-31,Argentina,Santa Fe,9 de Julio ,50.4,734654.0
110,2012-05-31,2012,May,05-31,Argentina,Santiago del Estero ,Alberdi,729.6,734654.0
111,2012-05-31,2012,May,05-31,Argentina,Santiago del Estero ,Belgrano ,130.9,734654.0
112,2012-05-31,2012,May,05-31,Argentina,Santiago del Estero ,Choya ,49.6,734654.0
113,2012-05-31,2012,May,05-31,Argentina,Santiago del Estero ,Copo,282.6,734654.0
114,2012-05-31,2012,May,05-31,Argentina,Santiago del Estero ,Figueroa,1127.8,734654.0
115,2012-05-31,2012,May,05-31,Argentina,Santiago del Estero ,General Taboada ,112.9,734654.0
116,2012-05-31,2012,May,05-31,Argentina,Santiago del Estero ,Guasayán,23.2,734654.0
117,2012-05-31,2012,May,05-31,Argentina,Santiago del Estero,Jiménez,59.3,734654.0
118,2012-05-31,2012,May,05-31,Argentina,Santiago del Estero,Juan F. Ibarra,587.6,734654.0
119,2012-05-31,2012,May,05-31,Argentina,Santiago del Estero,Moreno,2476.4,734654.0
120,2012-05-31,2012,May,05-31,Argentina,Santiago del Estero,Ojo de Agua,20.2,734654.0
121,2012-05-31,2012,May,05-31,Argentina,Santiago del Estero,Pellegrini,196.1,734654.0
122,2012-05-31,2012,May,05-31,Argentina,Santiago del Estero,Rio Hondo,34.2,734654.0
123,2012-05-31,2012,May,05-31,Argentina,Santiago del Estero ,Sarmiento,741.9,734654.0
124,2012-05-31,2012,May,05-31,Argentina,Tucumán,Burruyacu,312.9,734654.0
125,2012-05-31,2012,May,05-31,Argentina,Tucumán ,Cruz Alta,5.6,734654.0
126,2012-05-31,2012,May,05-31,Argentina,Tucumán ,Graneros,136.5,734654.0
127,2012-05-31,2012,May,05-31,Argentina,Tucumán,Leales,155.7,734654.0
